epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,69.7983,0.32861,0.46396,0.82033,0,0,0,0,0,393,0,0.000325526,0.000325526,0.000325526
80,70.6697,0.32881,0.45707,0.84091,0,0,0,0,0,397.75,0,0.000311379,0.000311379,0.000311379
81,71.5463,0.29692,0.46807,0.80596,0,0,0,0,0,397.75,0,0.000297232,0.000297232,0.000297232
82,72.4263,0.31551,0.45853,0.81734,0,0,0,0,0,397,0,0.000283085,0.000283085,0.000283085
83,73.4332,0.32609,0.47174,0.81203,0,0,0,0,0,398.25,0,0.000268938,0.000268938,0.000268938
84,74.3514,0.30017,0.45718,0.81361,0,0,0,0,0,401.5,0,0.000254791,0.000254791,0.000254791
85,75.1883,0.29583,0.44374,0.82516,0,0,0,0,0,401.5,0,0.000240644,0.000240644,0.000240644
86,76.1064,0.3098,0.47799,0.82226,0,0,0,0,0,402.5,0,0.000226497,0.000226497,0.000226497
87,77.0479,0.2839,0.44438,0.82637,0,0,0,0,0,408.5,0,0.000212349,0.000212349,0.000212349
88,77.8723,0.29058,0.45872,0.81079,0,0,0,0,0,419,0,0.000198202,0.000198202,0.000198202
89,78.6387,0.2861,0.46329,0.81983,0,0,0,0,0,419,0,0.000184055,0.000184055,0.000184055
90,79.4269,0.27972,0.43686,0.81167,0,0,0,0,0,436,0,0.000169908,0.000169908,0.000169908
91,113.986,0.25798,0.54497,0.7886,0,0,0,0,0,444.25,0,0.000155761,0.000155761,0.000155761
92,114.698,0.26215,0.51302,0.78779,0,0,0,0,0,444,0,0.000141614,0.000141614,0.000141614
93,115.396,0.24828,0.51153,0.79161,0,0,0,0,0,444,0,0.000127467,0.000127467,0.000127467
94,116.079,0.25802,0.50435,0.78129,0,0,0,0,0,432.25,0,0.00011332,0.00011332,0.00011332
95,116.767,0.24371,0.50476,0.79325,0,0,0,0,0,416.25,0,9.91726e-05,9.91726e-05,9.91726e-05
96,117.468,0.24692,0.50555,0.82443,0,0,0,0,0,406.75,0,8.50255e-05,8.50255e-05,8.50255e-05
97,118.156,0.25143,0.51813,0.80674,0,0,0,0,0,406.75,0,7.08784e-05,7.08784e-05,7.08784e-05
98,118.855,0.23246,0.50134,0.79133,0,0,0,0,0,406.25,0,5.67313e-05,5.67313e-05,5.67313e-05
99,119.528,0.24795,0.52706,0.79909,0,0,0,0,0,411.5,0,4.25842e-05,4.25842e-05,4.25842e-05
100,120.39,0.24031,0.51821,0.7974,0,0,0,0,0,419.5,0,2.84371e-05,2.84371e-05,2.84371e-05
